"","eventID","parentEventID","eventDate","samplingProtocol","sampleSizeValue","sampleSizeUnit","footprintWKT","footprintSRS","countryCode","stateProvinde","municipality","location","fieldNumber","fieldNotes"
"21","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A10","","Quadrat count",0.25,"m^2","POLYGON ((566458.9 4076472, 566459.1 4076472, 566459.5 4076472, 566459.3 4076472, 566458.9 4076472))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G+C+","herbivorism (sheep, rabbit)"
"22","CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A10","","Quadrat count",0.25,"m^2","POLYGON ((566458.7 4076473, 566459 4076473, 566459.4 4076473, 566459.1 4076472, 566458.7 4076473))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G+C+","herbivorism (sheep, rabbit)"
"23","CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A11","","Quadrat count",0.25,"m^2","POLYGON ((566456.6 4076474, 566457 4076475, 566457.3 4076474, 566456.9 4076474, 566456.6 4076474))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C+","livestock excluded"
"24","CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A11","","Quadrat count",0.25,"m^2","POLYGON ((566456.1 4076475, 566456.4 4076474, 566456 4076474, 566455.7 4076474, 566456.1 4076475))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C+","livestock excluded"
"25","CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A11","","Quadrat count",0.25,"m^2","POLYGON ((566456.6 4076475, 566456.2 4076475, 566455.9 4076475, 566456.3 4076476, 566456.6 4076475))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C+","livestock excluded"
"26","CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A11","","Quadrat count",0.25,"m^2","POLYGON ((566457 4076475, 566456.7 4076475, 566457.1 4076476, 566457.4 4076475, 566457 4076475))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C+","livestock excluded"
"27","CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A16","","Quadrat count",0.25,"m^2","POLYGON ((566417.9 4076507, 566417.5 4076507, 566417.2 4076507, 566417.6 4076507, 566417.9 4076507))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G+C+","herbivorism (sheep, rabbit)"
"28","CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A16","","Quadrat count",0.25,"m^2","POLYGON ((566416.8 4076508, 566417 4076507, 566416.6 4076507, 566416.3 4076507, 566416.8 4076508))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G+C+","herbivorism (sheep, rabbit)"
"29","CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A16","","Quadrat count",0.25,"m^2","POLYGON ((566417.2 4076508, 566416.8 4076508, 566416.6 4076508, 566417 4076509, 566417.2 4076508))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G+C+","herbivorism (sheep, rabbit)"
"30","CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A16","","Quadrat count",0.25,"m^2","POLYGON ((566417.7 4076508, 566417.4 4076508, 566417.9 4076508, 566418.1 4076508, 566417.7 4076508))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G+C+","herbivorism (sheep, rabbit)"
"31","CSIC-EEZ:SERPAM:AMOLADERAS_A15_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A15","","Quadrat count",0.25,"m^2","POLYGON ((566413.7 4076499, 566413.5 4076498, 566413 4076499, 566413.2 4076499, 566413.7 4076499))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C-","rabbit and livestock excluded"
"32","CSIC-EEZ:SERPAM:AMOLADERAS_A15_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A15","","Quadrat count",0.25,"m^2","POLYGON ((566412.4 4076499, 566412.8 4076499, 566412.6 4076498, 566412.2 4076498, 566412.4 4076499))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C-","rabbit and livestock excluded"
"33","CSIC-EEZ:SERPAM:AMOLADERAS_A15_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A15","","Quadrat count",0.25,"m^2","POLYGON ((566412.5 4076499, 566412.3 4076499, 566411.9 4076499, 566412.1 4076500, 566412.5 4076499))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C-","rabbit and livestock excluded"
"34","CSIC-EEZ:SERPAM:AMOLADERAS_A15_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A15","","Quadrat count",0.25,"m^2","POLYGON ((566413.2 4076499, 566412.7 4076500, 566412.9 4076500, 566413.4 4076500, 566413.2 4076499))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C-","rabbit and livestock excluded"
"35","CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A14","","Quadrat count",0.25,"m^2","POLYGON ((566468.5 4076477, 566468.2 4076476, 566467.8 4076477, 566468.1 4076477, 566468.5 4076477))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C-","rabbit and livestock excluded"
