eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A16,,Quadrat count,0.25,m^2,"POLYGON ((-2.255179 36.83212, -2.255183 36.83212, -2.255186 36.83212, -2.255181 36.83213, -2.255179 36.83212))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A16,,Quadrat count,0.25,m^2,"POLYGON ((-2.255173 36.83212, -2.255176 36.83212, -2.255171 36.83212, -2.255168 36.83212, -2.255173 36.83212))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Quadrat count,0.25,m^2,"POLYGON ((-2.255219 36.83204, -2.255221 36.83203, -2.255226 36.83204, -2.255224 36.83204, -2.255219 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Quadrat count,0.25,m^2,"POLYGON ((-2.255234 36.83204, -2.255229 36.83204, -2.255231 36.83203, -2.255236 36.83203, -2.255234 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Quadrat count,0.25,m^2,"POLYGON ((-2.255232 36.83204, -2.255234 36.83204, -2.255239 36.83204, -2.255237 36.83205, -2.255232 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Quadrat count,0.25,m^2,"POLYGON ((-2.255225 36.83204, -2.25523 36.83204, -2.255228 36.83205, -2.255223 36.83205, -2.255225 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Quadrat count,0.25,m^2,"POLYGON ((-2.254607 36.83183, -2.25461 36.83183, -2.254614 36.83183, -2.254611 36.83184, -2.254607 36.83183))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Quadrat count,0.25,m^2,"POLYGON ((-2.254617 36.83183, -2.25462 36.83183, -2.254625 36.83183, -2.254621 36.83184, -2.254617 36.83183))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Quadrat count,0.25,m^2,"POLYGON ((-2.254618 36.83184, -2.254621 36.83184, -2.254625 36.83184, -2.254622 36.83184, -2.254618 36.83184))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Quadrat count,0.25,m^2,"POLYGON ((-2.254611 36.83184, -2.254616 36.83184, -2.254612 36.83185, -2.254608 36.83184, -2.254611 36.83184))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((-2.254721 36.83188, -2.254726 36.83188, -2.254729 36.83188, -2.254724 36.83188, -2.254721 36.83188))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((-2.254733 36.83189, -2.25473 36.83188, -2.254735 36.83188, -2.254738 36.83188, -2.254733 36.83189))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((-2.254727 36.83189, -2.254732 36.83189, -2.254735 36.83189, -2.25473 36.83189, -2.254727 36.83189))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Quadrat count,0.25,m^2,"POLYGON ((-2.254722 36.83189, -2.254725 36.83189, -2.254721 36.83189, -2.254718 36.83189, -2.254722 36.83189))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((-2.250982 36.83238, -2.250977 36.83238, -2.250977 36.83237, -2.250982 36.83237, -2.250982 36.83238))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((-2.250984 36.83237, -2.250978 36.83237, -2.250979 36.83236, -2.250984 36.83236, -2.250984 36.83237))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((-2.250984 36.83237, -2.250984 36.83237, -2.25099 36.83237, -2.250989 36.83237, -2.250984 36.83237))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((-2.251028 36.83246, -2.251022 36.83246, -2.25102 36.83245, -2.251025 36.83245, -2.251028 36.83246))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((-2.251017 36.83245, -2.251013 36.83245, -2.25101 36.83245, -2.251015 36.83245, -2.251017 36.83245))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((-2.251021 36.83244, -2.251016 36.83245, -2.251013 36.83244, -2.251018 36.83244, -2.251021 36.83244))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Quadrat count,0.25,m^2,"POLYGON ((-2.251022 36.83245, -2.251027 36.83244, -2.25103 36.83245, -2.251025 36.83245, -2.251022 36.83245))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Quadrat count,0.25,m^2,"POLYGON ((-2.250914 36.83255, -2.25091 36.83256, -2.250906 36.83255, -2.25091 36.83255, -2.250914 36.83255))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
