eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A10,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254721 36.83179, -2.254717 36.83179, -2.25472 36.83179, -2.254725 36.83179, -2.254721 36.83179))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A10,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254715 36.83179, -2.254712 36.8318, -2.254707 36.83179, -2.25471 36.83179, -2.254715 36.83179))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A10,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254717 36.8318, -2.254713 36.8318, -2.254709 36.8318, -2.254712 36.8318, -2.254717 36.8318))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A11,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.25474 36.83181, -2.254736 36.83182, -2.254732 36.83181, -2.254737 36.83181, -2.25474 36.83181))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A11,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254745 36.83182, -2.254742 36.83181, -2.254746 36.83181, -2.25475 36.83182, -2.254745 36.83182))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A11,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.25474 36.83182, -2.254744 36.83182, -2.254748 36.83182, -2.254743 36.83183, -2.25474 36.83182))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A11,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254735 36.83182, -2.254738 36.83182, -2.254734 36.83183, -2.254731 36.83182, -2.254735 36.83182))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A16,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255171 36.83211, -2.255176 36.83211, -2.255179 36.83211, -2.255174 36.83212, -2.255171 36.83211))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A16,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255184 36.83212, -2.255181 36.83211, -2.255186 36.83211, -2.255189 36.83212, -2.255184 36.83212))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A16,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255179 36.83212, -2.255183 36.83212, -2.255186 36.83212, -2.255181 36.83213, -2.255179 36.83212))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A16,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255173 36.83212, -2.255176 36.83212, -2.255171 36.83212, -2.255168 36.83212, -2.255173 36.83212))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A15,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255219 36.83204, -2.255221 36.83203, -2.255226 36.83204, -2.255224 36.83204, -2.255219 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A15,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255234 36.83204, -2.255229 36.83204, -2.255231 36.83203, -2.255236 36.83203, -2.255234 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A15,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255232 36.83204, -2.255234 36.83204, -2.255239 36.83204, -2.255237 36.83205, -2.255232 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A15,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.255225 36.83204, -2.25523 36.83204, -2.255228 36.83205, -2.255223 36.83205, -2.255225 36.83204))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A14,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254607 36.83183, -2.25461 36.83183, -2.254614 36.83183, -2.254611 36.83184, -2.254607 36.83183))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A14,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254617 36.83183, -2.25462 36.83183, -2.254625 36.83183, -2.254621 36.83184, -2.254617 36.83183))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A14,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254618 36.83184, -2.254621 36.83184, -2.254625 36.83184, -2.254622 36.83184, -2.254618 36.83184))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
