occurrenceID,eventID,basisOfRecord,institutionCode,collectionCode,datasetName,ownerInstitutionCode,language,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,decimalLatitude,decimalLongitude,geodeticDatum
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.83179,-2.254721,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.83179333333333,-2.2547113333333333,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20151215_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20151215,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831799999999994,-2.254722,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20170126_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20170126,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.8318,-2.2547129999999997,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20170126_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20170126,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.83179,-2.254721,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20170126_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20170126,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.83179333333333,-2.2547113333333333,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20170126_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20170126,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831799999999994,-2.254722,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20180123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20180123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.8318,-2.2547129999999997,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20180123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20180123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.83179,-2.254721,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20180123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20180123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.83179333333333,-2.2547113333333333,epsg:4326
